iter	Logloss
0	0.6853764117
1	0.6791885655
2	0.6723205154
3	0.665852058344	0.659494457355	0.653702940566	0.6472244365
7	0.640826156
8	0.6347819579
9	0.6287614703
10	0.6233762756
11	0.6181996764
12	0.6136408834
13	0.6085541824
14	0.6041762347
15	0.5987564691
16	0.5940138077
17	0.5893617139
18	0.5844801599
19	0.5798609891
20	0.5758236061
21	0.5717795006
22	0.5676008362
23	0.5635650879
24	0.5590804526
25	0.554936939
26	0.5513892315
27	0.5478082259
28	0.5444505103
29	0.5408975669
30	0.5377324794
31	0.5346134176
32	0.5310441069
33	0.5275173313
34	0.5245313244
35	0.5217202688
36	0.5188728019
37	0.5158995517
38	0.5135440029
39	0.5105483432
40	0.5075144601
41	0.5050276048
42	0.5027010117
43	0.499613104
44	0.4972985167
45	0.4942900711
46	0.4919292106
47	0.4892824438
48	0.4870344227
49	0.4842716451
50	0.4819197717
51	0.4792805938
52	0.4769190872
53	0.4746074623
54	0.4728588063
55	0.4708343914
56	0.4690696736
57	0.4667288518
58	0.4645744647
59	0.4623618774
60	0.4606559166
61	0.4587906843
62	0.456964252
63	0.4554344133
64	0.4532864002
65	0.4512052824
66	0.4492193104
67	0.4473089695
68	0.4457315493
69	0.443763394
70	0.442417057
71	0.4405631115
72	0.4387980194
73	0.4370203553
74	0.435302672
75	0.4336362811
76	0.4325155237
77	0.4312061705
78	0.4296519519
79	0.4281162493
80	0.4266534521
81	0.4252144786
82	0.4238416273
83	0.4224356022
84	0.4211707544
85	0.4196605845
86	0.4184940628
87	0.4175713496
88	0.4167276627
89	0.4154435555
90	0.4141841188
91	0.4129218702
92	0.4118779074
93	0.4106685555
94	0.4096663891
95	0.4083759001
96	0.4075966145
97	0.4068541403
98	0.4058926369
99	0.4048418134
100	0.4040875343
101	0.4032839693
102	0.4021683402
103	0.4011928936
104	0.4004165877
105	0.3997868956
106	0.3983557977
107	0.3974117403
108	0.3965944707
109	0.3957241176
110	0.3950074072
111	0.3940013196
112	0.3931318072
113	0.3923628303
114	0.391424598
115	0.3906572236
116	0.3900543225
117	0.3891851386
118	0.3883306401
119	0.3875759526
120	0.3868087061
121	0.3863731109
122	0.3855063498
123	0.3847115616
124	0.3842192716
125	0.3833189084
126	0.3828064605
127	0.3820528028
128	0.3813987859
129	0.3806514492
130	0.3800777648
131	0.3792622098
132	0.3784646591
133	0.3777050066
134	0.376984856
135	0.3763975564
136	0.3757956144
137	0.3750387812
138	0.3743578645
139	0.3739079786
140	0.3729770183
141	0.3722137857
142	0.3718167434
143	0.3709549992
144	0.3704175601
145	0.3699669396
146	0.369408957
147	0.3691193072
148	0.3687953315
149	0.3679355967
150	0.3673088358
151	0.36678065
152	0.366122839
153	0.3654790558
154	0.3648251008
155	0.3644972902
156	0.3639255231
157	0.3633709809
158	0.3627806405
159	0.3622269829
160	0.361602703
161	0.3610373559
162	0.3605931947
163	0.3600901434
164	0.3596016041
165	0.3589737911
166	0.3586694888
167	0.358322376
168	0.3575459308
169	0.3569701624
170	0.3561804858
171	0.3557641864
172	0.3554298609
173	0.3550935652
174	0.354673861
175	0.3540952363
176	0.3536400601
177	0.3530750023
178	0.3527144902
179	0.3521169243
180	0.3516449823
181	0.3510458647
182	0.3502885426
183	0.3498981737
184	0.3494190525
185	0.348994908
186	0.3487300621
187	0.3482374806
188	0.3477743886
189	0.3474995995
190	0.3471402928
191	0.3465890222
192	0.3462186171
193	0.3455456777
194	0.3452238496
195	0.3449808813
196	0.3446493894
197	0.3443157024
198	0.3440981815
199	0.34384469
200	0.3432949044
201	0.3428234795
202	0.3423583156
203	0.3420635791
204	0.3418175437
205	0.3411379642
206	0.3408451865
207	0.3406682291
208	0.3403139055
209	0.3398042082
210	0.3395022291
211	0.3391864774
212	0.3387120561
213	0.3382717216
214	0.3378059549
215	0.3375218524
216	0.336918435
217	0.3366799633
218	0.3362472806
219	0.3359747278
220	0.3357929404
221	0.3354920472
222	0.335125788
223	0.3347834297
224	0.3345602235
225	0.334216212
226	0.3340291398
227	0.3335096043
228	0.3331855089
229	0.3328189896
230	0.3322637813
231	0.3317368692
232	0.3312848877
233	0.3308010154
234	0.3304485214
235	0.3302604604
236	0.3298854764
237	0.3296236892
238	0.3293436751
239	0.3290103743
240	0.3285162438
241	0.3282185184
242	0.3277217
243	0.3270893608
244	0.3268032761
245	0.326456291
246	0.3259997298
247	0.3256235145
248	0.325101024
249	0.3247437329
250	0.3245182093
251	0.324178714
252	0.3238298233
253	0.3236605487
254	0.3234661005
255	0.3232800879
256	0.3230213392
257	0.322566177
258	0.3223399551
259	0.3220214027
260	0.3213994602
261	0.3211243549
262	0.3205735032
263	0.3202467304
264	0.3199426969
265	0.3196471077
266	0.3192393578
267	0.3189755971
268	0.3187990566
269	0.3185926821
270	0.3184173566
271	0.3181285704
272	0.3176515373
273	0.317300878
274	0.3170659851
275	0.3169222575
276	0.3166895868
277	0.3165541076
278	0.3160781237
279	0.3157346308
280	0.3154888245
281	0.3152158084
282	0.3149034256
283	0.3145783854
284	0.3141076207
285	0.3138849905
286	0.3137214736
287	0.3133323709
288	0.3130732807
289	0.3126958456
290	0.3122191388
291	0.311564631
292	0.3111356351
293	0.310868148
294	0.3104260651
295	0.3101754532
296	0.3100566535
297	0.3097124135
298	0.3095021178
299	0.3091947249
300	0.3089494657
301	0.3082747476
302	0.3077251113
303	0.3075913197
304	0.3073910919
305	0.3071346107
306	0.3070313202
307	0.3065178741
308	0.3062812691
309	0.305804902
310	0.3054912778
311	0.3053077686
312	0.3050335965
313	0.3047052925
314	0.3042723922
315	0.3038400062
316	0.3035270182
317	0.3031304634
318	0.3024960228
319	0.3020723374
320	0.3017019622
321	0.3014588725
322	0.3010817975
323	0.3007641642
324	0.300602247
325	0.300416131
326	0.300099271
327	0.2998777635
328	0.2995942665
329	0.2990966991
330	0.2988842575
331	0.298650388
332	0.2982446343
333	0.2980697616
334	0.2978694851
335	0.2976067289
336	0.2973176073
337	0.2968127808
338	0.2966334776
339	0.2962691161
340	0.2960324994
341	0.2959108278
342	0.2957064084
343	0.2955533676
344	0.2953606109
345	0.2949724236
346	0.2948220716
347	0.2944622184
348	0.2940328274
349	0.2937683875
350	0.2933156121
351	0.2931152668
352	0.2928803281
353	0.2926722622
354	0.2923204111
355	0.2919887769
356	0.2916399832
357	0.2915081693
358	0.2913329054
359	0.2911024465
360	0.2909515574
361	0.2906548499
362	0.2902037971
363	0.2897321397
364	0.2895250718
365	0.2893725456
366	0.2892402533
367	0.289048893
368	0.2888523213
369	0.288689905
370	0.2882768062
371	0.2881005707
372	0.2879936629
373	0.2878250825
374	0.2875347279
375	0.2873047609
376	0.2871377578
377	0.2869871094
378	0.2866595989
379	0.2864064267
380	0.2861789891
381	0.2856543284
382	0.2853909329
383	0.2850126484
384	0.2849380906
385	0.284684165
386	0.2844134466
387	0.2842050644
388	0.2839435318
389	0.2837721653
390	0.283498904
391	0.2831942593
392	0.2827651652
393	0.2824038232
394	0.2820668574
395	0.2819233809
396	0.2815900501
397	0.2814451831
398	0.2813087708
399	0.2809995035
400	0.2808234168
401	0.2805518861
402	0.2802981828
403	0.2801622366
404	0.2799696766
405	0.2798188407
406	0.2796731505
407	0.2794334558
408	0.2790392545
409	0.278842353
410	0.2786162867
411	0.2784313272
412	0.2782196035
413	0.2780751491
414	0.2777332956
415	0.2774402843
416	0.2771570831
417	0.27682540544418	0.27639500664419	0.2761408637420	0.2533559016
421	0.2531662812
422	0.2529905935
423	0.2527516211
424	0.252436927
425	0.2523228738
426	0.2521551532
427	0.251971982
428	0.2518170543
429	0.2516340044
430	0.2513735807
431	0.250950881
432	0.2508354092
433	0.2506516035
434	0.2504962773
435	0.2504101763
436	0.2502239057
437	0.2500271548
438	0.2497580933
439	0.2496252115
440	0.2494927614
441	0.2493768943
442	0.2490992681
443	0.2489127975
444	0.2488230864
445	0.2486463595
446	0.2484912509
447	0.2483227521
448	0.2482828541
449	0.2480776505
450	0.2479136531
451	0.2476875635
452	0.247340338
453	0.2470133548
454	0.2467447429
455	0.2465354858
456	0.2463728475
457	0.2461391521
458	0.2460366326
459	0.245856074
460	0.2456422111
461	0.2454219476
462	0.2452600861
463	0.2450254802
464	0.2448713312
465	0.2447109907
466	0.2446140056
467	0.2443010668
468	0.2441749977
469	0.24402298
470	0.2438769827
471	0.2437472	0.2472	0.2435473	0.2473	0.2433474	0.474	0.2432522359
475	0.2430161784
476	0.2428875832
477	0.2426126743
478	0.24218479	0.479	0.24190480	0.480	0.2417952164
481	0.2417106968
482	0.241568177
483	0.241223484	484	0.2409989635
485	0.2407093486	486	0.240509866
487	0.24024415488488	0.2400784489	489	0.2397591490490	0.2395971023
491	0.2393898622
492	0.2391459974
493	0.2389497547
494	0.2387084266
495	0.2384358912
496	0.2382837459
497	0.2381133812
498	0.2379546403
