iter	Passed	Remaining
0	159	159812
1	163	81495
2	166	55475
3	170	42491
4	173	34522
5	176	29298
6	179	25532
7	182	22690
8	186	20524
9	189	18790
10	192	17343
11	196	16178
12	200	15200
13	203	14348
14	206	13530
15	209	12879
16	213	12316
17	216	11798
18	219	11346
19	223	10942
20	226	10562
21	229	10213
22	233	9903
23	236	9601
24	239	9343
25	243	9120
26	246	8896
27	250	8699
28	254	8507
29	257	8328
30	260	8149
31	264	7996
32	267	7830
33	279	7934
34	281	7774
35	284	7626
36	287	7489
37	291	7374
38	294	7261
39	297	7146
40	300	7030
41	303	6913
42	306	6811
43	309	6723
44	312	6636
45	315	6551
46	319	6476
47	322	6406
48	326	6330
49	329	6257
50	332	6182
51	335	6115
52	339	6060
53	342	6002
54	345	5935
55	348	5876
56	351	5821
57	354	5760
58	357	5703
59	360	5648
60	363	5596
61	366	5546
62	369	5498
63	373	5455
64	376	5411
65	378	5361
66	381	5317
67	384	5276
68	387	5232
69	390	5189
70	393	5149
71	396	5112
72	400	5082
73	404	5056
74	407	5025
75	410	4993
76	414	4966
77	417	4934
78	421	4909
79	423	4875
80	427	4850
81	430	4820
82	434	4802
83	438	4776
84	441	4753
85	445	4735
86	449	4713
87	453	4697
88	457	4679
89	462	4671
90	465	4652
91	469	4630
92	473	4614
93	476	4594
94	480	4581
95	484	4560
96	487	4542
97	491	4525
98	496	4516
99	499	4497
100	503	4479
101	506	4461
102	511	4453
103	515	4441
104	520	4433
105	526	4441
106	530	4429
107	535	4420
108	538	4402
109	543	4396
110	547	4384
111	551	4373
112	555	4364
113	560	4353
114	563	4339
115	567	4326
116	571	4314
117	577	4317
118	582	4313
119	586	4301
120	590	4291
121	595	4283
122	598	4270
123	602	4259
124	607	4249
125	612	4246
126	616	4235
127	621	4234
128	626	4227
129	630	4218
130	635	4216
131	640	4211
132	645	4207
133	650	4204
134	655	4198
135	659	4189
136	664	4185
137	668	4174
138	672	4168
139	677	4164
140	683	4163
141	689	4163
142	693	4157
143	697	4148
144	702	4140
145	706	4134
146	711	4129
147	715	4119
148	720	4114
149	724	4107
150	729	4100
151	733	4091
152	737	4083
153	742	4078
154	747	4073
155	751	4064
156	755	4054
157	759	4046
158	763	4036
159	767	4029
160	773	4031
161	777	4023
162	782	4019
163	787	4015
164	792	4009
165	796	3999
166	800	3992
167	804	3983
168	808	3973
169	811	3963
170	816	3957
171	821	3953
172	824	3943
173	829	3935
174	834	3933
